hidden_size,number_of_layers,train_rmse,val_rmse,train_r2,val_r2
8,1,0.29952678084373474,0.3728402554988861,0.761634886264801,0.7354820370674133
8,2,0.26706868410110474,0.3053222894668579,0.7874652743339539,0.783383846282959
8,3,0.27947086095809937,0.32499340176582336,0.777595579624176,0.7694278359413147
8,4,0.28425174951553345,0.33873531222343445,0.7737908363342285,0.7596783638000488
16,1,0.2530525326728821,0.3284432291984558,0.7986193299293518,0.7669802904129028
16,2,0.20516102015972137,0.2891487181186676,0.8367317318916321,0.794858455657959
16,3,0.20456719398498535,0.3179166615009308,0.8372043371200562,0.7744485139846802
16,4,0.188947856426239,0.3152189552783966,0.8496342301368713,0.7763624787330627
32,1,0.25337696075439453,0.3337344229221344,0.7983612418174744,0.763226330280304
32,2,0.17353983223438263,0.2723006010055542,0.8618960380554199,0.8068116307258606
32,3,0.12432701140642166,0.26149269938468933,0.9010598659515381,0.8144794702529907
32,4,0.1490686535835266,0.30730053782463074,0.8813703060150146,0.7819803357124329
64,1,0.18816880881786346,0.2819083034992218,0.8502542972564697,0.7999953031539917
64,2,0.1245657205581665,0.25849345326423645,0.9008698463439941,0.8166073560714722
64,3,0.09609536081552505,0.23780114948749542,0.9235267639160156,0.8312878608703613
64,4,0.06290841847658157,0.28997570276260376,0.949937105178833,0.79427170753479
256,1,0.14979860186576843,0.25073742866516113,0.8807894587516785,0.8221099972724915
256,2,0.09647522866725922,0.2488168329000473,0.9232244491577148,0.8234726190567017
256,3,0.05800574645400047,0.26512283086776733,0.9538387060165405,0.8119040727615356
256,4,0.03705502673983574,0.2683754563331604,0.9705114364624023,0.8095964193344116
8,1,0.2960866391658783,0.3733760714530945,0.7643726468086243,0.7351019382476807
8,2,0.26847177743911743,0.29567813873291016,0.7863487005233765,0.7902260422706604
8,3,0.2590554356575012,0.30333951115608215,0.7938423156738281,0.7847905158996582
8,4,0.2649816572666168,0.33912360668182373,0.7891261577606201,0.759402871131897
16,1,0.26501157879829407,0.3284112513065338,0.78910231590271,0.7670029997825623
16,2,0.21309472620487213,0.3127703070640564,0.830418050289154,0.7780997157096863
16,3,0.23222145438194275,0.3158394396305084,0.8151968717575073,0.7759222388267517
16,4,0.19019989669322968,0.28631392121315,0.8486377596855164,0.7968696355819702
32,1,0.23033547401428223,0.32770293951034546,0.8166977763175964,0.7675055265426636
32,2,0.1540306955575943,0.26877933740615845,0.8774215579032898,0.8093098402023315
32,3,0.12496291100978851,0.296656996011734,0.900553822517395,0.7895315885543823
32,4,0.09017203748226166,0.2888634204864502,0.9282405972480774,0.7950608730316162
64,1,0.19270414113998413,0.2693401873111725,0.8466449975967407,0.808911919593811
64,2,0.13308440148830414,0.2827009856700897,0.8940907120704651,0.7994329333305359
64,3,0.10723920911550522,0.2991253733634949,0.9146584272384644,0.7877803444862366
64,4,0.06687065213918686,0.3028421700000763,0.9467839598655701,0.7851433753967285
256,1,0.1789274960756302,0.2704299986362457,0.8576084971427917,0.8081387877464294
256,2,0.08071541041135788,0.24247336387634277,0.9357662200927734,0.8279730677604675
256,3,0.05387560650706291,0.2643711566925049,0.9571254849433899,0.8124372959136963
256,4,0.02911016158759594,0.26347559690475464,0.9768339395523071,0.813072681427002
8,1,0.3404124081134796,0.4210026264190674,0.7290979623794556,0.7013124227523804
8,2,0.2424960732460022,0.31268736720085144,0.8070202469825745,0.7781585454940796
8,3,0.2529829740524292,0.30261680483818054,0.7986747026443481,0.7853032946586609
8,4,0.2767292559146881,0.3693353533744812,0.7797773480415344,0.7379686832427979
16,1,0.27419403195381165,0.3391812741756439,0.7817949056625366,0.759361982345581
16,2,0.25385957956314087,0.3486490845680237,0.797977089881897,0.7526448965072632
16,3,0.2046075314283371,0.29015180468559265,0.837172269821167,0.7941467761993408
16,4,0.21491658687591553,0.34212976694107056,0.8289681077003479,0.757270097732544
32,1,0.23073633015155792,0.33469459414482117,0.8163787722587585,0.762545108795166
32,2,0.17213240265846252,0.27330902218818665,0.8630160689353943,0.8060961961746216
32,3,0.15822233259677887,0.2828748822212219,0.8740857839584351,0.7993095517158508
32,4,0.12959900498390198,0.25357335805892944,0.8968644142150879,0.8200979828834534
64,1,0.19071944057941437,0.28950920701026917,0.848224401473999,0.7946026921272278
64,2,0.12423039972782135,0.27421098947525024,0.9011367559432983,0.805456280708313
64,3,0.10391514748334885,0.28248703479766846,0.917303740978241,0.799584686756134
64,4,0.0769764706492424,0.25366508960723877,0.9387416839599609,0.8200329542160034
256,1,0.15735362470149994,0.2653137445449829,0.8747771382331848,0.8117685914039612
256,2,0.09714080393314362,0.2585079073905945,0.9226948022842407,0.8165971040725708
256,3,0.06176275387406349,0.2483377307653427,0.9508488178253174,0.8238124847412109
256,4,0.02939232438802719,0.24475084245204926,0.9766094088554382,0.8263573050498962
